生成的PPT文件保存为：cef_fonts_cjk\unicode_flash_mob_1.pptx
PPT创建进度: 100%|█████| 13277/13277 [13:46<00:00, 16.06slide/s]
         1236702138 function calls (1235652611 primitive calls) in 826.538 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    79662    0.073    0.000    3.486    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\fill.py:343(fore_color)
    66385    0.066    0.000    3.479    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:318(fill)
    79662    0.209    0.000    3.414    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\color.py:45(from_colorchoice_parent)
    92939    0.134    0.000    3.400    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:169(_iter_member_elms)
   212432    0.142    0.000    3.049    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:657(_pPr)
    13277    0.072    0.000    2.985    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:1198(update)
    13277    0.035    0.000    2.966    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\shapes\groupshape.py:85(add_placeholder)
    53108    0.031    0.000    2.892    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:698(_is_member_elm)
     5303    0.025    0.000    2.860    0.001 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:1325(refresh)
    53108    0.036    0.000    2.827    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:722(_shape_factory)
    13291    0.099    0.000    2.814    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:587(xml)
    53108    0.136    0.000    2.791    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:825(_LayoutShapeFactory)
     5304    0.020    0.000    2.775    0.001 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:1464(display)
    13277    0.169    0.000    2.717    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\shapes\autoshape.py:254(new_placeholder_sp)
